name,weight,type,domain
Harvard University,5,School,
Stanford University,5,School,
Massachusetts Institute of Technology (MIT),5,School,
"University of California, Berkeley",5,School,
University of Cambridge,5,School,
California Institute of Technology,5,School,
Princeton University,5,School,
Columbia University,5,School,
University of Chicago,5,School,
University of Oxford,5,School,
Yale University,5,School,
"University of California, Los Angeles",5,School,
Cornell University,5,School,
University of Pennsylvania,5,School,
"University of California, San Diego",5,School,
University of Washington,5,School,
"University of California, San Francisco",5,School,
The Johns Hopkins University,5,School,
University of Wisconsin - Madison,5,School,
University College London,5,School,
The University of Tokyo,5,School,
University of Michigan - Ann Arbor,5,School,
Swiss Federal Institute of Technology Zurich,5,School,
"The Imperial College of Science, Technology and Medicine",5,School,
University of Illinois at Urbana-Champaign,5,School,
University of Toronto,5,School,
Kyoto University,5,School,
"University of Minnesota, Twin Cities",5,School,
New York University,5,School,
Northwestern University,5,School,
Washington University in St. Louis,5,School,
University of Colorado at Boulder,5,School,
Rockefeller University,5,School,
"University of California, Santa Barbara",5,School,
Duke University,5,School,
The University of Texas at Austin,5,School,
University of British Columbia,5,School,
The University of Manchester,5,School,
"University of Maryland, College Park",5,School,
University of Paris Sud (Paris 11),5,School,
Pierre and Marie Curie University - Paris 6,5,School,
University of North Carolina at Chapel Hill,5,School,
University of Copenhagen,5,School,
Karolinska Institute,5,School,
Pennsylvania State University - University Park,5,School,
University of Southern California,5,School,
Technical University Munich,5,School,
"University of California, Davis",5,School,
"University of California, Irvine",5,School,
Utrecht University,5,School,
The University of Texas Southwestern Medical Center at Dallas,5,School,
Vanderbilt University,5,School,
The University of Edinburgh,5,School,
University of Munich,5,School,
Carnegie Mellon University,5,School,
University of Zurich,5,School,
The Hebrew University of Jerusalem,5,School,
University of Pittsburgh,5,School,
"Rutgers, The State University of New Jersey - New Brunswick",5,School,
University of Melbourne,5,School,
Purdue University - West Lafayette,5,School,
University of Heidelberg,5,School,
The Ohio State University - Columbus,5,School,
McGill University,5,School,
Brown University,5,School,
Leiden University,5,School,
Uppsala University,5,School,
King's College London,5,School,
Ecole Normale Superieure - Paris,5,School,
The Australian National University,5,School,
University of Bristol,5,School,
University of Florida,5,School,
University of Geneva,5,School,
University of Helsinki,5,School,
University of Oslo,5,School,
Boston University,5,School,
Moscow State University,5,School,
Arizona State University - Tempe,5,School,
University of Utah,5,School,
University of Arizona,5,School,
Stockholm University,5,School,
Indiana University Bloomington,5,School,
Osaka University,5,School,
University of Rochester,5,School,
University of Nottingham,5,School,
Aarhus University,5,School,
The University of Queensland,5,School,
University of Goettingen,5,School,
Ghent University,5,School,
McMaster University,5,School,
University of Basel,5,School,
Michigan State University,5,School,
Rice University,5,School,
Nagoya University,5,School,
University of Bonn,5,School,
University of Sydney,5,School,
Case Western Reserve University,5,School,
The University of Sheffield,5,School,
Tohoku University,5,School,
Texas A&M University - College Station,4,School,
University of Frankfurt,4,School,
Aix-Marseille University,4,School,
Baylor College of Medicine,4,School,
Catholic University of Leuven,4,School,
Catholic University of Louvain,4,School,
Emory University,4,School,
Georgia Institute of Technology,4,School,
Hokkaido University,4,School,
London School of Economics and Political Science,4,School,
Lund University,4,School,
Mayo Medical School,4,School,
National Taiwan University,4,School,
National University of Singapore,4,School,
Oregon State University,4,School,
Radboud University Nijmegen,4,School,
Seoul National University,4,School,
Swiss Federal Institute of Technology of Lausanne,12,School,
Technion-Israel Institute of Technology,4,School,
Tel Aviv University,4,School,
The University of Georgia,4,School,
The University of Western Australia,4,School,
Tokyo Institute of Technology,4,School,
Tufts University,4,School,
University of Alberta,4,School,
University of Amsterdam,4,School,
University of Birmingham,4,School,
"University of California, Riverside",4,School,
"University of California, Santa Cruz",4,School,
University of Delaware,4,School,
University of Freiburg,4,School,
University of Groningen,4,School,
University of Hawaii at Manoa,4,School,
University of Iowa,4,School,
University of Leeds,4,School,
University of Liverpool,4,School,
University of Massachusetts Amherst,4,School,
University of Massachusetts Medical School - Worcester,4,School,
University of Montreal,4,School,
University of Muenster,4,School,
University of Paris Diderot (Paris 7),4,School,
University of Pisa,4,School,
University of Roma - La Sapienza,4,School,
University of Sao Paulo,4,School,
University of Strasbourg,4,School,
University of Sussex,4,School,
University of Tuebingen,4,School,
University of Virginia,4,School,
University of Wuerzburg,4,School,
VU University Amsterdam,4,School,
Weizmann Institute of Science,4,School,
Cardiff University,4,School,
Colorado State University,4,School,
Dartmouth College,4,School,
Delft University of Technology,4,School,
Erasmus University,4,School,
Florida State University,4,School,
George Mason University,4,School,
Iowa State University,4,School,
Joseph Fourier University (Grenoble 1),4,School,
Kyushu University,4,School,
Louisiana State University - Baton Rouge,4,School,
Monash University,4,School,
Mount Sinai School of Medicine,4,School,
National Autonomous University of Mexico,4,School,
North Carolina State University - Raleigh,4,School,
Oregon Health and Science University,4,School,
State University of New York at Stony Brook,4,School,
Technical University of Denmark,4,School,
The Chinese University of Hong Kong,4,School,
The University of Alabama at Birmingham,4,School,
The University of Calgary,4,School,
The University of Glasgow,4,School,
The University of Texas Health Science Center at Houston,4,School,
The University of Texas M. D. Anderson Cancer Center,4,School,
Tsinghua University,4,School,
University Libre Bruxelles,4,School,
University of Bern,4,School,
University of Buenos Aires,4,School,
University of Hamburg,4,School,
University of Illinois at Chicago,4,School,
University of Kansas - Lawrence,4,School,
University of Kiel,4,School,
University of Koeln,4,School,
University of Mainz,4,School,
"University of Maryland, Baltimore",4,School,
University of Miami,4,School,
University of Milan,4,School,
University of Nebraska - Lincoln,4,School,
University of New South Wales,4,School,
University of Padua,4,School,
University of Paris Descartes (Paris 5),4,School,
University of Southampton,4,School,
University of Tennessee - Knoxville,4,School,
University of Tsukuba,4,School,
University of Vienna,4,School,
University of Wageningen,4,School,
University of Warwick,4,School,
University of Waterloo,4,School,
Virginia Commonwealth University,4,School,
Virginia Polytechnic Institute and State University,3,School,
Autonomous University of Madrid,3,School,
Brandeis University,3,School,
Chalmers University of Technology,3,School,
Charles University in Prague,3,School,
Claude Bernard University Lyon 1,3,School,
Complutense University of Madrid,3,School,
Dalhousie University,3,School,
Dresden University of Technology,3,School,
Fudan University,3,School,
Keio University,3,School,
King Saud University,3,School,
Korea Advanced Institute of Science and Technology,3,School,
Lancaster University,3,School,
Laval University,3,School,
Macquarie University,3,School,
Medical University of Vienna,3,School,
Nanjing University,3,School,
Nanyang Technological University,3,School,
National and Kapodistrian University of Athens,3,School,
National Cheng Kung University,3,School,
Newcastle University,3,School,
Norwegian University of Science and Technology,3,School,
Paul Sabatier University (Toulouse 3),3,School,
Peking University,3,School,
Polytechnic Institute of Milan,3,School,
"Queen Mary, U. of London",3,School,
Queen's University,3,School,
Rensselaer Polytechnic Institute,3,School,
Royal Institute of Technology,3,School,
RWTH Aachen University,3,School,
Shanghai Jiao Tong University,3,School,
Simon Fraser University,3,School,
State University of Campinas,3,School,
State University of New York at Buffalo,3,School,
Technical University of Berlin,3,School,
The George Washington University,3,School,
The Hong Kong Polytechnic University,3,School,
The Hong Kong University of Science and Technology,3,School,
The University of Adelaide,3,School,
The University of Auckland,3,School,
The University of Connecticut - Storrs,3,School,
The University of Hong Kong,3,School,
The University of New Mexico - Albuquerque,3,School,
The University of Reading,3,School,
The University of Texas Health Science Center at San Antonio,3,School,
The University of Western Ontario,3,School,
Trinity College Dublin,3,School,
Umea University,3,School,
University of Aberdeen,3,School,
University of Antwerp,3,School,
University of Barcelona,3,School,
University of Bergen,3,School,
University of Bochum,3,School,
University of Bologna,3,School,
University of Cape Town,3,School,
University of Central Florida,3,School,
University of Cincinnati,3,School,
University of Colorado at Denver,3,School,
University of Duesseldorf,3,School,
University of Durham,3,School,
University of East Anglia,3,School,
University of Erlangen-Nuremberg,3,School,
University of Florence,3,School,
University of Gothenburg,3,School,
University of Guelph,3,School,
University of Houston,3,School,
University of Innsbruck,3,School,
University of Kentucky,3,School,
University of Lausanne,3,School,
University of Leicester,3,School,
University of Leipzig,3,School,
University of Liege,3,School,
University of Lorraine,3,School,
University of Maastricht,3,School,
University of Manitoba,3,School,
University of Marburg,3,School,
University of Medicine and Dentistry New Jersey,3,School,
University of Missouri - Columbia,3,School,
University of Montpellier 2,3,School,
University of Notre Dame,3,School,
University of Oregon,3,School,
University of Otago,3,School,
University of Ottawa,3,School,
University of Paris Dauphine (Paris 9),3,School,
University of Saskatchewan,3,School,
University of Science and Technology of China,3,School,
University of South Carolina - Columbia,3,School,
University of South Florida,3,School,
University of Southern Denmark,3,School,
University of St Andrews,3,School,
University of Stuttgart,3,School,
University of Turin,3,School,
University of Valencia,3,School,
University of Vermont,3,School,
University of Victoria,3,School,
University of York,3,School,
Washington State University - Pullman,3,School,
Yeshiva University,3,School,
Yonsei University,3,School,
Zhejiang University,2,School,
Aristotle University of Thessaloniki,2,School,
Autonomous University of Barcelona,2,School,
Bar-Ilan University,2,School,
Ben-Gurion University of the Negev,2,School,
Brigham Young University,2,School,
China Agricultural University,2,School,
City University of Hong Kong,2,School,
City University of New York City College,2,School,
Clemson University,2,School,
Drexel University,2,School,
Ecole Polytechnique,2,School,
Eindhoven University of Technology,2,School,
Eotvos Lorand University,2,School,
Federal University of Minas Gerais,2,School,
Federal University of Rio de Janeiro,2,School,
Flinders University,2,School,
Georgetown University,2,School,
Hanyang University,2,School,
Hiroshima University,2,School,
Huazhong University of Science and Technology,2,School,
Indian Institute of Science,2,School,
Indiana University-Purdue University at Indianapolis,2,School,
Industrial Physics and Chemistry Higher Educational Institution - Paris,2,School,
Istanbul University,2,School,
Jagiellonian University,2,School,
James Cook University,2,School,
Kanazawa University,2,School,
Kansas State University,2,School,
Karlsruhe Institute of Technology,2,School,
King Fahd University of Petroleum & Minerals,2,School,
Kobe University,2,School,
Korea University,2,School,
Medical University of Innsbruck,2,School,
Medical University of South Carolina,2,School,
National Chiao Tung University,2,School,
National Tsing Hua University,2,School,
Northeastern University,2,School,
Okayama University,2,School,
Pohang University of Science and Technology,2,School,
Polytechnic University of Valencia,2,School,
Queen's University Belfast,2,School,
Saint Louis University,2,School,
Saint Petersburg State University,2,School,
San Diego State University,2,School,
Sao Paulo State University,2,School,
Scuola Normale Superiore - Pisa,2,School,
Shandong University,2,School,
Sichuan University,2,School,
State University of New York at Albany,2,School,
State University of New York Health Science Center at Brooklyn,2,School,
Stockholm School of Economics,2,School,
Sun Yat-sen University,2,School,
Sungkyunkwan University,2,School,
Swedish University of Agricultural Sciences,2,School,
Syracuse University,2,School,
Technical University Darmstadt,2,School,
Temple University,2,School,
The University of Dundee,2,School,
The University of Montana - Missoula,2,School,
The University of Texas at Dallas,2,School,
The University of Texas Medical Branch at Galveston,2,School,
Thomas Jefferson University,2,School,
Tokyo Medical and Dental University,2,School,
Tulane University,2,School,
University College Cork,2,School,
University College Dublin,2,School,
University of Alaska - Fairbanks,2,School,
University of Bath,2,School,
University of Bielefeld,2,School,
University of Bordeaux 1,2,School,
University of Duisburg-Essen,2,School,
University of Exeter,2,School,
University of Genova,2,School,
University of Graz,2,School,
University of Halle-Wittenberg,2,School,
University of Jena,2,School,
University of Konstanz,2,School,
University of Naples Federico II,2,School,
University of Nebraska Medical Center,2,School,
University of New Hampshire - Durham,2,School,
University of Newcastle,2,School,
University of Oklahoma - Norman,2,School,
University of Oulu,2,School,
University of Palermo,2,School,
University of Porto,2,School,
University of Regensburg,2,School,
University of Rennes 1,2,School,
University of Rhode Island,2,School,
University of Roma - Tor Vergata,2,School,
University of Szeged,2,School,
University of Tasmania,2,School,
University of Tehran,2,School,
University of the Witwatersrand,2,School,
University of Turku,2,School,
University of Twente,2,School,
University of Ulm,2,School,
University of Warsaw,2,School,
Wake Forest University,2,School,
Waseda University,2,School,
Wayne State University,1,School,
Auburn University,1,School,
Beijing Normal University,1,School,
Beijing University of Aeronautics and Astronautics,1,School,
Boston College,1,School,
Cairo University,1,School,
Carleton University,1,School,
Catholic University of Chile,1,School,
Catholic University of the Sacred Heart,1,School,
Chang Gung University,1,School,
Chiba University,1,School,
Chungnam National University,1,School,
Curtin University of Technology,1,School,
Dalian University of Technology,1,School,
Ecole National Superieure Mines - Paris,1,School,
Ecole Normale Superieure - Lyon,1,School,
Federal University of Rio Grande do Sul,1,School,
Federal University of Sao Paulo,1,School,
Griffith University,1,School,
Hannover Medical School,1,School,
Harbin Institute of Technology,1,School,
Jilin University,1,School,
Kent State University,1,School,
Kyung Hee University,1,School,
Kyungpook National University,1,School,
La Trobe University,1,School,
Lanzhou University,1,School,
Lehigh University,1,School,
Linkoping University,1,School,
London School of Hygiene and Tropical Medicine,1,School,
Massey University,1,School,
Medical College of Wisconsin,1,School,
Medical University of Graz,1,School,
Montana State University - Bozeman,1,School,
Nagasaki University,1,School,
Nankai University,1,School,
Nara Institute of Science and Technology,1,School,
National Central University,1,School,
National Yang Ming University,1,School,
Nihon University,1,School,
Niigata University,1,School,
Polytechnic University of Turin,1,School,
Pusan National University,1,School,
Southeast University,1,School,
Swinburne University of Technology,1,School,
Technical University of Braunschweig,1,School,
Texas Tech University,1,School,
The Open University,1,School,
The University of Connecticut Health Center,1,School,
The University of Texas at San Antonio,1,School,
The University of Tokushima,1,School,
Tilburg University,1,School,
University of Arkansas at Fayetteville,1,School,
University of Bari,1,School,
University of Bayreuth,1,School,
University of Bremen,1,School,
University of Canterbury,1,School,
University of Chile,1,School,
University of Eastern Finland,1,School,
University of Essex,1,School,
University of Ferrara,1,School,
University of Giessen,1,School,
University of Granada,1,School,
University of Greifswald,1,School,
University of Haifa,1,School,
University of Hannover,1,School,
University of Jyvaskyla,1,School,
University of KwaZulu-Natal,1,School,
University of Lisbon,1,School,
University of Ljubljana,1,School,
University of Malaya,1,School,
"University of Maryland, Baltimore County",1,School,
University of Milan - Bicocca,1,School,
University of Nevada - Reno,1,School,
University of Nice Sophia Antipolis,1,School,
University of Parma,1,School,
University of Pavia,1,School,
University of Perugia,1,School,
University of Pompeu Fabra,1,School,
University of Quebec,1,School,
University of Santiago Compostela,1,School,
University of Sherbrooke,1,School,
University of Siena,1,School,
University of Surrey,1,School,
"University of Technology, Sydney",1,School,
University of Tromso,1,School,
University of Versailles,1,School,
University of Vigo,1,School,
University of Wisconsin - Milwaukee,1,School,
University of Wollongong,1,School,
University of Wyoming,1,School,
University of Zagreb,1,School,
University of Zaragoza,1,School,
Victoria University of Wellington,1,School,
Vienna University of Technology,1,School,
Vrije University Brussel,1,School,
Wuhan University,1,School,
Xiamen University,1,School,
Xian Jiao Tong University,1,School,
Yamaguchi University,1,School,
York University,0,School,
J.P. Morgan Investment Bank,6,Company,Banking
Goldman Sachs & Co.,5,Company,Banking
Morgan Stanley,5,Company,Banking
Credit Suisse,5,Company,Banking
Houlihan Lokey,5,Company,Banking
"Greenhill & Co., Inc.",5,Company,Banking
EverCore-Partners,5,Company,Banking
Perella Weinberg Partners,5,Company,Banking
Centerview Partners,5,Company,Banking
"Jefferies & Company, Inc.",5,Company,Banking
Moelis & Company,5,Company,Banking
"Nomura Holdings, Inc.",4,Company,Banking
RBC Capital Markets,4,Company,Banking
Royal Bank of Scotland Group plc,4,Company,Banking
Citi Institutional Clients Group,4,Company,Banking
Sandler O'Neill + Partners L.P.,4,Company,Banking
Robert W. Baird & Co. (Baird),4,Company,Banking
Piper Jaffray Companies,4,Company,Banking
"Gleacher & Company, Inc.",4,Company,Banking
William Blair & Company,4,Company,Banking
"Cowen Group, Inc.",4,Company,Banking
SunTrust Robinson Humphrey,3,Company,Banking
FBR & Co.,3,Company,Banking
The Blackstone Group,3,Company,Banking
Lazard,3,Company,Banking
Deutsche Bank AG,3,Company,Banking
Barclays Capital,3,Company,Banking
UBS Investment Bank,3,Company,Banking
Bank of America Corp.,3,Company,Banking
Rothschild,3,Company,Banking
Wells Fargo & Company,3,Company,Banking
Deloitte Corporate Finance LLC,2,Company,Banking
HSBC North America Holdings,2,Company,Banking
BNP Paribas USA,2,Company,Banking
Oppenheimer & Co.,2,Company,Banking
Societe Generale Corporate & Investment Banking,2,Company,Banking
Macquarie Group (U.S.),2,Company,Banking
Allen & Company LLC,2,Company,Banking
Bank of New York Mellon Corporation,2,Company,Banking
BMO Capital Markets,2,Company,Banking
Cantor Fitzgerald,2,Company,Banking
Lloyds Banking Group PLC,1,Company,Banking
Brown Brothers Harriman,1,Company,Banking
Peter J. Solomon Company,1,Company,Banking
"Raymond James Financial, Inc.",1,Company,Banking
Miller Buckfire & Co. LLC,1,Company,Banking
"Morgan Keegan & Co., Inc.",1,Company,Banking
Credit Agricole Corporate and Investment Bank,1,Company,Banking
Susquehanna International Group,1,Company,Banking
The Blackstone Group,5,Company,Banking
Kohlberg Kravis Roberts & Co. (KKR),5,Company,Banking
Carlyle Group The,5,Company,Banking
BlackRock,5,Company,Banking
TPG Capital,5,Company,Banking
"Paulson & Co., Inc.",5,Company,Banking
"SAC Capital Advisors, L.P.",5,Company,Banking
Bain Capital,5,Company,Banking
Barclays Capital,5,Company,Banking
Soros Fund Management LLC,5,Company,Banking
"D. E. Shaw & Co., L.P.",5,Company,Banking
"Apollo Global Management, LLC (Apollo)",4,Company,Banking
